Reviews,stars,name,location 
The restaurant and Open Table need to communicate better that the restaurant accepts CASH ONLY. This came as a surprise and fortunately we had enough cash to cover our meal.,3,OpenTable Diner,New York Area
The waiter forgot my order. Half way into my meal. I reminded him that I ordered an extra side. The chicken was a bit salty.,4,OpenTable Diner,New York Area
"Great food and service, but would’ve liked a cozier table.",4,OpenTable Diner,New York Area
"Friendly, fun and the food is perfection.   The servers are all really professional and wonderful.  The atmosphere is great and I highly recommend this restaurant.  We had the best time and will do it again soon.   Kindest regards,   Melissa",5,OpenTable Diner,New York Area
We had our friend's bachelorette dinner. It was a lovely service. They accommodate a large party. The food was delicious!,5,OpenTable Diner,New York Area
Did not realize it was cash only. They do not take credit cards. Food was ok. I would go again if I was in the neighborhood.,3,OpenTable Diner,New York Area
"Fabulous, convivial bistro with wonderful food and service.",5,OpenTable Diner,New York Area
This restaurant is a secret.  It has excellent food in a casual setting.  Service is friendly and competent.  We shared the mussels and the duck breast.  Both were delicious.,5,CLSIMON,New York Area
"Very disappointed in this selection. My wife and I needed to meet a couple friends in the neighborhood, and they like French food. I had hoped the food would be better; some dishes were better than others, and I feel like the portions were way off on some things. For a charcuterie board, they gave us 5 slices of each sausage (small logs, not a big slice), which I thought was very stingy.  The wine list was WAY overpriced, especially considering that the restaurant is CASH only. There weren't really bottles under $50, which, for a bistro, is absurd. Their rose, which was good, was at $52 from Corsica. I just felt taken advantage of, which is not what I look for in a neighborhood bistro.",2,OpenTable Diner,New York Area
"This is a small bistro hidden in the edge between the Lower East Side and Chinatown.  The food is always excellent, and the prices reasonable. The owners live locally, and the clientele is quite diverse, as is the staff.  The bar has a good selection of nouveau mixology drinks, but they also make a good, no-nonsense martini.  Note: it is CASH only, so bring some dough, although there is an ATM in one of the restrooms!",5,OpenTable Diner,New York Area
Service and food was very good. Nice low-key place to meet friends. Love the big open doors to let fresh air in.,4,adest,New York Area
"The food, ambiance and service were all great. We had a great experience.",5,OpenTable Diner,New York Area
"Overall, mediocre. The food is pretty good but for the price point, in a fairly isolated part of Chinatown, I would have expected more. What really brought the experience down was the indifferent waitstaff. Might be worth a second try for happy hour.",3,NeighborhoodEater,New York Area
Always a great experience.  My favorite place for summer oysters.  The wines are great and reasonably priced.  Authentic food and a great neighborhood find.,5,OpenTable Diner,New York Area
"The place is cute, my friend and I went early, so it wasn't very crowded.  We both felt that the service could have been better, the food came quickly, but the attitude was lacking.  When I go out to a restaurant I like to feel welcome, our waitress was kind of a downer.  I didn't love the salmon, but to be fair, I'm picky about fish.  It was well cooked, but the seasoning was minimal, and it was served on a small side portion of chick pea salad, it felt like something was missing.  The menu is small, it didn't really thrill either me or my friend, although she had the chicken and she said it was good.",3,OpenTable Diner,New York Area
"Stefan and his team do a fabulous job of curating a little piece of neighborhood France.  Warm and inviting.  The food is first rate, with the best tartare and tartine we've had in the city.  The wines and the food are authentic and reasonably priced.  We've taken parents and friends, gone on a date night and a lazy evening when we are too tired to cook ourselves.  Never a disappointment.  And one year in, they are getting better still.  Merci beaucoup!",5,MSFridayDec15,New York Area
Stefan has an incredible recipe for delicious fun and culinary delight!!,5,Knoops,New York Area
Classic neighborhood French bistro.  Good reasonably priced wines. Great tartare and tartine.  Boeuf de carottes and other French home style fare.  A warm and comfortable place to share a quiet romantic meal or an evening out with the kids or parents or a group of friends.,5,MSFridayDec15,New York Area
"Last minute find for Sunday Brunch.  Delicious all around with the thickest steaks properly cooked I've seen for a Steak and Eggs brunch.  Not too busy, attentive service, great food all around.  Bonus solo acoustic guitarist playing classics while you chat and enjoy your meal.",5,Sundeep,New York Area
"My new favorite spot. Great food, ambience happy to have you back in the neighborhood.  Thankful that you take reservations. Welcome back!",5,Nycstylist,Tampa
Always a great time with great drinks&amp;food.,5,OpenTable Diner,New York Area
The Smith is a solid spot. The food is consistent and tasty. Cocktails are great and it's always bustling and busy without feeling overcrowded or too noisy.,4,OkItalian,New York Area
Damn that was tasty,5,OpenTable Diner,Philadelphia
Had a solid meal and great drinks! Especially enjoyed the roasted cauliflower! Cant wait to dine there again..,5,Leogirl,New York Area
"Like that this place is spacious, but it took awhile before a server got to us. Then the waitress forgot we order fires until I reminded her and then ketchup for the fries.",3,OpenTable Diner,Chicago
Very crowded and noisy.  Table for 3  was too small.  Food and service was very good especially the potato chips,5,JoAnn,New York Area
Good stuff,5,OpenTable Diner,New York Area
"Great service, great food as usual.",5,OpenTable Diner,New York Area
Amazing service - great food....we went there before the dinner crowd and had the place to ourselves.,5,OPENTABLEFAN,New York Area
"Pleasant atmosphere, very good service, good food, competitive prices.  Really diverse menu, something for everyone, and they take reservations!!",4,fudy66,New England
"Could be the loudest restaurant we've ever been to -- couldn't hear each other or our waiter.  We were seated right next to the restroom (a one person one at that) so constant stream of people in and out around us.  Food was ok, not great.  We probably wouldn't go back.",2,OpenTable Diner,San Francisco
"Great place to eat...fun atmosphere. The fired chicken was amazing, and great to share as an appetizer. You certainly walk away feeling full and satisfied, and not too overly expensive.  Would definitely recommend to a friend.",4,OpenTable Diner,Las Vegas
"As always, lovely ambience and great service coupled with great food. First time that we have been to the branch here, and a good meal was had by all.",5,IMN7,New York Area
Best burger! I love The Smith!,5,GabrielleA,New York Area
Great food and service!,5,OpenTable Diner,New York Area
"Always an amazing meal. We had out of town guests in, with their child, and The Smith WOW'd everyone. Chicken Parm was great and not super heavy.  Pork Schnitzel was so good (who knew?)!  Pepper burger was awesome, jalapeño cheese grits out of this world.  We love coming to the Smith.",5,DLVATL,New York Area
Our server Emily rocked our socks off.,5,OpenTable Diner,New York Area
"I had quite a large group of people in my party, and The Smith was extremely accommodating, quick service, and delicious food. This is one of the smaller locations, so expect to wait on a busy weekend night. Love the blue cheese fondue, mac and cheese, gnocchi, and prosecco. It's one of the best meals I've had in the city.",5,Cassie,New York Area
We've been to the East Village location many times and never disappoints.  A little pricey but the food is tremendous and the portions are generous.   The  service is always prompt without being intrusive.  A good time and we will definitely be back.,4,JonathanB,New York Area
Always a perfect neighborhood meal!  Authentic and original cuisine.,5,OpenTable Diner,New York Area
"Perfect for a child-friendly, relaxed atmosphere with very good food.  Basket of toys at the entrance made it clear that kids were welcome, but the brunch was top notch.",5,Rebeccatwinmom,New York Area
"Everything we tried was amazing - short rib and pasta special on Thursdays, the gnocchi and the butternut squash salad.  Good cocktails. Very nice atmosphere. Would happily return.",5,kath,New York Area
Service was ridiculously exceptional,5,OpenTable Diner,St. Louis
"Just an all around great time. Excellent food, excellent drinks, excellent service.",5,OpenTable Diner,New York Area
Great food and time!,5,OpenTable Diner,New York Area
"A great spot for a group of friends or a family gathering. Lots on the menu for sharing, which is what we chose to do. A few apps, a few mains, and some desserts, and we were filled to the brim. The wine seems expensive for what it is and everything is a bit overpriced, but overall we enjoyed ourselves. This is a reliable spot that I suggest for groups and I'm rarely disappointed. We ordered the calamari, the tartare, a dozen oysters, duck wings, a kale salad, and cocktails to start. Then we had the NY strip, brick chicken, chicken meatballs and spaghetti, ragu pasta, another salad, and everything was great. We let them know we were sharing and asked them to cut up the chicken and steak into strips for us, which they obliged and it was exceedingly helpful. For dessert, we ordered the bread pudding and some chocolate dessert, I can't recall the name. We were completely satisfied and would definitely return.",4,deekay,New York Area
"been to the smith many times always love the energy, the chips, and cocktails",5,OpenTable Diner,New York Area
It was average but it was NYD and we are from Melbourne Australia where we have the best breakfasts around overall good service etc. Fine for 18-30 Uni students,2,OpenTable Diner,Melbourne / VIC
"Perfect way to spend New Year’s Eve! The open bar had great liquor choices and drinks. And the food was exceptional. I got the salmon and my boyfriend got the filet mignon. Our waitress, Emily was the best!! Would definitely recommend and go back again!",5,OpenTable Diner,New York Area
Very good service and food. I have been there several times and the wait staff always friendly and attentive.,5,OpenTable Diner,New York Area
"First time at The Smith and was not disappointed. None pretentious American menu that fits many tastes and done and served perfectly.  Loved the spicy salmon, gnocchi, short ribs and branzino. Casual atmosphere,  a bit noisy but with a great vibe. Superb service. Will definitely be back.",5,peerdar,New York Area
Food was slow to come out but it was great,5,OpenTable Diner,New York Area
"Service was welcoming, fast and very attentive.  Their homemade cucumber ginger soda was yummy.  Hot potato chips is a must.  The egg white omelete was good.  Nothing special.",5,OpenTable Diner,New York Area
Great food and service.  Arrived a few minutes early and we were accompdated.  I would come here again.  Casual and elegant at the same time,5,Confettigirl77,Atlanta
Delicious brunch and great atmosphere. We always grab brunch here while in NYC. Highly recommend!,5,OpenTable Diner,San Francisco
Loved the Christmas music they were playing. The place to eat on Christmas Eve,5,OpenTable Diner,San Francisco
"I’ve never had a disappointing meal or experience here, the Smith is always amazing!",5,OpenTable Diner,New York Area
"The food was great, the atmosphere was nicely energetic, and our waiter was excellent. We had a wonderful Christmas Eve meal.",5,Wonderful,New England
Great service! Mac and cheese the best! Not rushed,5,Dontcaretogive1,New York Area
Another great experience at The Smith.,5,OpenTable Diner,New York Area
"Great food, good energy but way too exp for what it is!",4,OpenTable Diner,New York Area
Always crowded so reservations are highly recommended.  Great food!!!!,4,GoodEats,Miami
Birhday dinner for 7 people they were great snd the food delicious,5,OpenTable Diner,New York Area
Great late night vibe. Dim lighting. Good music. Different menu than I had seen in Instagram pictures but the three-cheese ravioli was great! The Viva la Vida tequila drink was amazing!,5,OpenTable Diner,New York Area
Not the place to go for brunch,3,OpenTable Diner,New York Area
Food was excellent service average despite the large # of people in the restaurant. The place was cold not sure if they had a heating issue,3,Tonye,Austin
"The service here is second to none.  Patrons are actually cared for by a team.  Kudos! The food is excellent.  Soup, salad, main dishes and desserts were all superb. What I did not like and would stop me from returning is the noise.  One cannot engage in conversation.  Some acoustic panels set into the ceiling squares, a carpet and some cushioned walls would reduce the volume.  And please get rid of the cheap flower arrangements.  They look funereal.  Better to do none than cheap mums and carnations.",4,Maddie,Philadelphia
"delicious food, good wine selection, good vibe. definitely will return",5,OpenTable Diner,London
"My fourth visit to this establishment , as the previous three had been excellent. Dined with friends and family. We were subjected to a ""Meal Auction"" of who is having this and did you order this , for Appetizers and Entree's. Clearly the runners had not been provided with a table plan by the Server. Restaurant Service 101.... Wine suggested by the Sommelier was not available, as the one bottle they had in inventory the previous day had been Sold. Four of my party ordered Oysters and Shrimp Cocktails (2 of each) and for some bizarre reason, these were served together and not on individual plates. *Not every Guest likes to share plates. Steak entree was under seasoned and tough. Check back was relatively insincere and my hardly touched Ceasar Salad went un-noticed. There would have to be a compelling reason for me to return or recommend.",2,OpenTable Diner,Los Angeles
"The lunch menu prices are the reason this place is so empty $24 for a pasta? That's dinner for sure, and with so many other options in Soho, this is worth skipping",3,OpenTable Diner,New York Area
Sessanta is one of those “Every time Wonderful” NYC restaurants. Absolutely great service. Excellent menu. Always a great experience. Nine thumbs up.,5,Emil,New York Area
"It was my husband's birthday and they took care of our table of 12. We loved the atmosphere, the music, food-everything! We'll be back.",5,OpenTable Diner,New York Area
"Victor made the evening especially great.  He was informed about food and wine, and a friendly, welcoming and attentive server, but not overbearing, just perfect.  The cocktails and wine were awesome, and the food was killer.",5,OpenTable Diner,London
Awesome place all around. Definitely will go back.,5,OpenTable Diner,New York Area
"Delicious and cool spot. Definitely get the crab legs, scallop app, gnocci and coscancelli.",5,Shoegal21,New York Area
"Very nice bar and outside dining. Went on a Friday night and the atmosphere was great. Food was amazing and the music was awesome!  Was expecting the usually Italian music, but great songs from the 80s and 90s.",4,OpenTable Diner,New York Area
I was glad I made reservations hoping place. Shares the building with the Norman Hotel,5,Mario,New York Area
"I loved my dining experience at Sessanta. Their seasonal cocktails are refreshing and the rich flavors in the pasta dishes are incredible! Down to the last bite, I would recommend Sessanta and I can't wait to come back and try other menu options!",5,OpenTable Diner,New York Area
"We went to celebrate a special event. It was a great choice. The menu was creative and the food wonderful. Service was also just right. Great choice of wines, interesting and tasty cocktails. A little noisy, but good ambiance.",5,pgscmk,New York Area
"Waiter didn't come around to take orders for more than 20 minutes and not a single staff member was to be found when looking for one.  Food was middle of the road and overpriced.  Also, the lunch menu was very sparse.  I get it--you may not want to have too many items on a menu but they needed a few more options.  Would it kill them to offer the chance to add chicken or shrimp to a garden salad?  I should think not (and if it was offered, it wasn't apparent on the menu, nor did the server make reference to it being an option).",2,Anonymous,New York Area
We loved Sessanta. Great food and service - definitely check it out.,4,Michael,New York Area
Service was t great but the actual food was very good!,2,Karina,Atlantic City
"They had a Sicilian inspired menu with authentic Italian dishes and reasonable prices. Some of the best bottarga pasta and cannolis in town. Now they've changed chef and veered into pseudo Italian (new Italian-American?), with poor taste founded in no tradition (red peppers with pasta and squid...). Closer to LI than to Cefalu'. What a shame. Go for a drink, or sit in the front-door patio, but avoid the full meal!",3,OpenTable Diner,New York Area
Overall great food and ambiance! The pistachio tortellone and the Orata were our favorites.,4,OpenTable Diner,New York Area
We really enjoyed our time at Sessanta. Friendly and extremely attentive service. Thoughtful cocktails. Delicious pasta.,5,AMjp,New York Area
Service was good and manager was apologetic for the horrible food preparation.  the appetizer was way too salty.  The manager agreed and delivered a new order that was adequate.  The main courses were both disgusting.  The fish was stuffed with some kind of pureed vegetables.  This was not part of the description on the menu and was an unwelcome surprise.  The meat was swimming in butter.   They have recently introduced the menu and new chef.  We ended up without a meal or a bill....,1,mara,New York Area
"Great service, amazing food, gorgeous atmosphere! It's a must!",5,OpenTable Diner,New York Area
Outstanding! The decor and the food were top notch. Very fine service and the hostess was particularly helpful.,5,Napoletano,New York Area
"Chef Adam prepared a truly amazing meal for our birthday celebration. Each first course was better than the next, beautifully presented and utterly delicious. The pastas were amazing! Fresh, perfect amount of sauce, cooked to perfection. I particularly liked the lemon pasta. The entrees were great (although I stopped at pasta, I tasted a few). The steak was melt in your mouth flavorful, so too was the hanger steak. Hurry quick to the restaurant Chef Adam has just begun and word will be out soon about the wonderful food.",5,OpenTable Diner,Philadelphia
"Not quite the setting for our taste, but I can understand why this is a popular spot. We found the music annoying, but the service couldn't have been better and the food was very good.",3,OldSpice,New England
My Husbands birthday,5,OpenTable Diner,New York Area
"friendly, attentive staff, delicious food, great wine list. . What a find.",5,Bill,New York Area
"THE NEW BALTHAZAR.   JUST PERFECTION.  The ambience is gorgeous, the food divine, the service is attentive but not obnoxious.  Go. Drink Wine. Eat Pasta. Look great doing it in this beautifully lit spot.",5,SilenceDogood,New York Area
"Terrific meal on all accounts.  Diverse but coherent menu.  Delicious crudo, pasta, lobster, and dry aged beef.  An absolute treat.",5,Frankly,New York Area
The weather seemed to keep most folks home on the night we went.  The restaurant was quiet and we were able to really enjoy how beautiful the space is.  Service was great!  Food was also fantastic.,5,OpenTable Diner,New York Area
"Visited Sessanta for the third time to experience Restaurant Week with a fellow blogger friend. Overall, the meal was delicious! My octopus was overcooked, but the flavors were spot on. Other dishes were superb and included the tuna crudo, fettuccine bolognese, grilled salmon and tiramisu. Also, The Gatsby was a great drink choice!",5,Ashia,Washington DC
It's such a great location and the service is lovely. Unfortunately the food is dipping into the below average range. Disappointing. I will not be going back.,1,shle,New York Area
Great spot. Had a business dinner ( party of 5) and it was perfect. Would go again.,4,vnc202,New York Area
"Went for restaurant week. Food very good. Geartbsalad, veal meatballs and tuna. Fish and pasta very good. Would go back",5,OpenTable Diner,New York Area
Beautiful setting. Food is good but not the best Italian in NYC.  Service was great and very accommodating!,4,Tb6574,"Dined on January 30, 2017"
We went this place during testaurant week. There wasn't much option to select from the restaurant week dinner. There was no option for vegeterian choice and simple pasta was under cooked. My wife only eat veg and chicken but no item in menu was chicken dish. Service and ambience was good but food was not something my wife and I liked.,2,OpenTable Diner,New York Area
"Came for brunch around 3:00 on weekend.  Place was largely empty and we were seated right away.  Ordered and food never came.  Waiters kept walking by avoiding eye contact.  After 30 minutes I made a scene, manager investigated, something had gone wrong (probably the order wasn't entered).  I wanted to leave, he asked us to stay and comped us the entire meal.  The food (when it came) was all very good.  The manager did the right thing, which was appreciated.  If this was a once-in-a-great-while screw up, which happens to every restaurant, I would recommend.  But since I have no way of knowing if this was symptomatic of common problems or a stuff happens, I can't recommend.",2,OpenTable Diner,New York Area
It was fabulous! Went for my birthday with a group of 6 girls and we had our private area right near the wine cellar. Food was delicious and the service was great! They were extremely attentive yet never rushed us. The ambiance was incredible. Highly recommend!,5,OpenTable Diner,New York Area
"Amaizing food , great value , truly Italian  Just a little be noisy , not sure if music in the ambience helps or make Americans be even more loud than usual :-)",5,OpenTable Diner,New York Area
"Delicious food, some offerings slightly over-salted but still very good. The ambiance is a touch shy of perfect. The service is stellar. I'd definitely do it again!",4,Jeff,New York Area
"Excellent food and drinks with a very nice ambiance -- good for dates, special occasions, or just a great dinner!",5,OpenTable Diner,New York Area
"The service was great, the decor reminds me of a low budget Freeman's alley but, the food was just fair. We tried a bunch of apps and mains. First, the razor calms had too much breading, pasta with duck ragu didn't taste like duck ragu, and everything had the same flavor of garlic and red sauce. Cute place but the food was so so,",2,OpenTable Diner,New York Area
"There are so many amazing things about this place. The service is impecable! The food was amazing, I had the cuttlefish ink pasta and my date had the duck ragu pasta dish. I am a regular restaurant goer in the city, and this was one of my favorite dining experiences. The drinks were also great! My date and I tried to sit downstairs (really romantic!) but there was a large party and it was very loud. We ended up sitting upstairs (which is still very nice!). The waiter and wait staff was one of the best I've seen in New York. Very highly recommended.",5,OpenTable Diner,New York Area
"Don't love the location....neighborhood is disturbing, and there's no sign! People call it romantic, but it's a bit like being in a scene from The Count of Monte Cristo. Noise level was unbearable, so we moved upstairs, where smoke from the outside wafted in. Duck ragu was very good, as was the gnocchi.",3,Mopman,Los Angeles
Amazing atmosphere! Would definitely recommend this place!,5,OpenTable Diner,New York Area
"Lovely restaurant , buzzy ambience and pretty noisy but without large groups would have been romantic. Good menu and not typical fare. Waiting staff friendly.",4,Clazza,London
"Cool space, bricks, low lights, and cubby hole ""rooms"" but hard surfaces make for a bit of sound if it's crowded. Semi-communal tables (two parties to large but not huge tables) means getting some of other parties' conversations but not sitting in your lap. Mostly had specials - quite good - menu-listed pork shank excellent. All Italian wine list reasonable to ""special occasion"".",3,Excellent,New York Area
"Overall a decent night out although the food portions were a bit small and the service was a bit impatient. The communal tables aren't so bad but I did request a stand alone table. I realize it is a request but letting me know would be nice, instead of just leading me and my date to a table. The atmosphere is clean and pleasant which is a plus.",3,OpenTable Diner,New York Area
I love the rustic decor and food here. I have passed this place a thousand times in our neighborhood and now will be back for sure.,4,missleonyc,New York Area
we really were surprised when we went down stairs. The food was excellent and the whole experiece is one i look forward to having again.,5,OpenTable Diner,New York Area
"Amazing food, amazing service in a wonderful romantic atmosphere.",5,OpenTable Diner,New York Area
"One of the best Italian meals I have had in the city! Would highly recommend, especially for a date spot!",5,OpenTable Diner,New York Area
"A hidden gem in the odd neighborhood that borders the Lower East Side on the south and Chinatown east. From the street, Bacaro looks like a small four-table restaurant with a marble bar. But the treasure is walking downstairs into the cavernous wine cellar where the rest of the tables are. You're immediately transported to an antiquated scene in Venice. All of our food was outstanding, including all the specials we ordered. Mainstays that I would recommend are the Spaghetti Nero (cuttlefish ink), Creamed Codfish and Polenta, and the Sole.",5,Siena,New York Area
"this is one of our favorite restaurants in NY. The food is superb, and the atmosphere very friendly!",5,OpenTable Diner,New York Area
"A couple of friends went to Bacaro a few weeks before we arrived in NYC. I thought it looked cool, so I made some reservations for my wife and myself along with another couple who went on our trip with us.  After trying to find the place (which looks like it's in a horrible neighborhood, but surprisingly, we didn't run into any problems), they weren't too happy with my choice. They complained the whole time up until we received our food. After that, they thought the food was great. It wasn't pricey at all, but it had the sense of a really nice upscale restaurant.",4,Beanjug,New York Area
"What a find! Real Venetian cuisine on the outer fringes of Chinatown! The neighborhood is a bit run down, and the restaurant is hard to find (no sign outside), but once you're in, what an experience! The downstairs is a romantic, candle-lit, brick cellar with arches, and the cuisine is the real deal. Great experience all around.",5,Fabulous,Washington DC
My favorite restaurant in New York! Enchanting medieval atmosphere A hidden treasure! Loved it!,5,Cdrocco,New York Area
"I have been to Bacaro (pronounced, by the way with the accent on the first syllable) twice. The first time the place was packed. The food, while excellent was expensive, and the noise level was tremendous - eating in the basement felt just like that; eating in a crowded basement. I did not enjoy the experience. However, there are so few good restaurants in my immediate area that are not crowded and noisy, that I decided to go there with a friend the other night. It was less crowded, the noise level was much reduced, the food was still excellent and while expensive, was more in keeping with what I have experienced in other NYC restaurants of equal or lesser quality. I had exactly the same table as I had the last time, and it was wonderful.",4,Donaldcabaker,New York Area
"What a neighborhood gem this is. Food was excellant, and well priced. Loved the ""cellar"" dinning room, very quaint. Staff was great, and provided good tips on what to order and what was ""sharable"".",4,ATLGAL,New York Area
"I came here on a recommendation from a friend. SO glad I did! I brought my fiance here for his birthday and he was pleasantly surprised by the taste and quality of all the food. And a big bonus, the prices were extremely reasonable. More than reasonable actually. Our server, Regis, was wonderful as well.  The olive oil served with their bread was amazing; strong, fragrant and delicious. The fiance also couldn't get enough of their bread... so yummy. If you like snails, you must order their baked snail appetizer. Ridiculously tasty. If you don't like snails, you should get it anyway. It just might convert you. Our entrees: spaghetti vongole and marinated steak... NO complaints there!  Thank you, Bacaro, for making the birthday dinner a h",5,OpenTable Diner,New York Area
"We went for my wife's birthday with a group of 5. The restaurant is really small and cozy, but the staff was very accommodating. They are very used to birthday celebrations. The food is high quality and reasonably priced. They did not rush us and let us bring our own birthday cake. The pasta dishes were very good. The menu had some flair but not pretentious like many restaurants these days. I do not need to know that the pork belly came from a pig named Bill. The grilled pulpo was perfect. Only complaint: Since the tables are small, do not serve the meals straight from the skillet. Transfer them to plates and save some elbow room.",5,Runoto,Chicago
The restaurant kindly waited for us for 30min as we faced trouble of subway and delayed.  Very good Italian tastes and Friendship .,3,SATOSHI,London
Dominic was a great waiter and the energy and entire staff were simply fantastic. The food was spot on in taste and texture. I could close my eyes and be in Sicily.,5,BigD,Raleigh
Had to leave before we could eat because the table where they sat us was so uncomfortable. Probably should have been a table for two (I think they may have brought in a table from outside to accommodate four). Since we were so close to the door it was also freezing.,1,OpenTable Diner,Chicago
Fantastic service. Great food. Fun time.,5,OpenTable Diner,"Dined on February 2, 2018"
"Any place that makes their own pasta, has lots of specials, and is not too pretentious is worth a visit, and this place fit all those bills. It's a small little spot with only about ten tables, making it cozy, but not too cramped. Also, as a note of distinction, all their pasta dishes (and many others) are served in a small sauce pot. It's a nice touch. Prices are reasonable, especially since they make it themselves. It's worth a try if you are in the neighborhood.",4,OpenTable Diner,Chicago
"Amazing Italian food. Great service, great atmosphere.",5,Cody,New York Area
"First off let me start off by saying the food was amazing.  For apps we ordered the calamari and it was perfect to share for three. I was very impressed with the variety of pastas they had, not only on the menu but the specials as well. The pasta was fresh (pretty sure it was made in-house) and flavorful and served in creative iron cast pans. Definitely will be going back until I try All the pastas on the menu!!!",5,OpenTable Diner,New York Area
"Always great food, friendly staff, a pleasure to dine here.",5,OpenTable Diner,New York Area
My mum’s birthday,5,OpenTable Diner,Miami
Pasta was extremely salty. Prawns were bad! We had a stomic flew in the morning after. Not value for money at all.,2,OpenTable Diner,Montreal
I had a great time at Piccola Cucina. I must say if you do decide to come on a first date here the music is quite loud and you need to do a bit of shouting for your date to hear you. There isn’t a variety for you to choose from the menu if you're vegetarian. Overall the place is really cute and they had great music.,4,Jocy,New York Area
"As Italian I can only say this is my favorite Italian restaurant ever! Very good food, super service and cozy atmosphere!",5,DeniseR,New York Area
"WOW! What a Find! This atmosphere was very intimate. All of their food was very authentic and delicious! They had a great wine list, along with a drink menu. The staff was awesome and fun. The prices were very reasonable for the quality of food. Can't wait for my next trip to Piccola Cucina!",5,OpenTable Diner,New York Area
"The staff were very nice and extremely attentive; however, the food was bad. My wife found several completely raw pieces of pasta in her dish and the eggplant was unable to be found by either of us. My dish was ok, but it was nothing special. The other big issue was that the tables were so cramped that anytime the people sitting around us needed to get up, we would have to move our table and hold onto our stuff so that it didn't get knocked over.",1,OpenTable Diner,Richmond
"We enjoyed an absolutely wonderful experience at Piccola Cucina Osteria.  Yes, it is tiny, crowded, and noisy, but it's all part of the experience.  The food was absolutely terrific--arancini as good as we have had, and brilliant, bright and flavorful pastas.  The wait staff does a great job in conveying an authentic Italian feeling to the place.  We will look forward to coming back.",5,Danar,New England
Very tiny restaurant. Amazing food!,5,OpenTable Diner,New York Area
"My favorite Italian restaurant in NYC - actually it may be my favorite restaurant, anywhere. We go several times a year and are never disappointed. In fact, we are consistently surprised that every time the food seems better than the last. Linguini Neri is authentic and really quite amazing. Best I've had. Stuffed zucchini blossoms were outstanding.  Staff is great, attentive but not overbearing.  We took our friend for her birthday and afterwards she said it was her new ""death row dinner"". Can't get a better review than that.",5,OpenTable Diner,Philadelphia
"The best spot I could take my girlfriend for a romantic 21st bday. Reasonable price and the candles were perfect with the wine, which made it as romantic as it get. This spot is very underground and made me think but once Walked down, I was impress. It's a must go and customer service was great and even though the food wasn't a wow but the setting accomadtes for it.",5,OpenTable Diner,New York Area
The black spaghetti was spetacular!!! A real romantic place with a very good food!,5,Romeu,New York Area
"One of the coolest spaces, a dining catacomb on the fringe of Chinatown and LES. Super nice and friendly staff. Delivered us a complimentary glass of Proseco for our anniversary. Food is good, a little rich for my taste. But the ambiance and staff are what makes the place.",4,Mtizzle,New York Area
"The ambiance is wonderful and the food was delicious: but both times I've gone, the waiter rushed us along during the meal. It's SO close to being a great restaurant, but with a waiter that pushy, I would never recommend it as a date spot. The waiter single-handedly killed the mood! They were in such a rush to get us out of the restaurant that they re-set the table with new settings, water glasses, etc before we'd even finished signing the check!",3,OpenTable Diner,New York Area
"The food was excellent (especially, the olive oil that came with bread). However, only one thing I didn't like about this place was the music, which didn't really match the very classic ambiance... I know it used to be different",4,Sara,New York Area
cool space - amazing food and great service - dinner was fantastic,4,OpenTable Diner,New York Area
"The restaurant was nice in the lower level, however the food was not outstanding and nothing to rave about to friends. Dessert was ok and so was the main courses. The restaurant has a romantic vibe and it's cute for a first date. However I would not return.",2,OpenTable Diner,New York Area
"The candles, rustic interior and wonderful food made for an amazing dinner experience.",4,EricJP,New York Area
"The place is very nice but the food used to be really good and now is not as good anymore. I am italian born and raised in the north, from the region where Bacaro's food is originating so my expectations are pretty high to begin with. Nonetheless, this is the first time sinc eopening that I notice a deterioration in the food quality; service was...nothing special really. Pity, it was one of my favorite restaurants for itaian food!",2,OpenTable Diner,New York Area
Very cool place on the lower Lower East Side. Would definitely go back again with group or date.,4,sanj,New York Area
"This place is the absolute definition of a hidden gem! There is nothing on the street other than Bacaro, and even Bacaro is hard to spot! My cab driver didn't believe there was anything on Division Street, he insisted on taking me to Stanton:-) I didn't let him. The restaurant is super romantic, and each table has its own special nook. You feel very removed from the city sitting in the charming, candlelit like basement. The menu was outstanding, I wish I could have tried everything. Definitely order the meat and cheese plate to start!",4,JS94,New York Area
"Great restaurant on border of LES &amp; Chinatown. Nice atmosphere for downstairs dining area - lots of exposed brick &amp; iron work with plenty of candlelight. Huge list of Italian wines, waitress was great in helping us pick out wines. Good choices on the menus, food was delicious.",4,OpenTable Diner,New York Area
"Very dumpy neighborhood in Chinatown/Lower East Side, but a true gem. Would have given them perfect score, but for a mixup in an order. But they truly were tremendous, and we will return. The setting for the tables is one of the most romantic I have ever seen, and the food was fantastic and very innovative.",4,MichaelK,Washington DC
"Unusual finding a restaurant like this on the Lower East Side. We went to a great gallery opening (Bosi), and we were looking for a place nearby. We found Bacaro, and we were pleasantly suprised at the professional service, inventive food, and reasonable wine list. We would go back.",5,Nola,New York Area
"I read reviews of this place and it was just as it was described in all the reviews. Food was excellent, love the candles for a romantic feel. Great for dates and big groups as well. One thing I would have liked was if the 2 seat tables would've been a bit further apart from the next, I didn't want to hear what others are talking about or seeing there eyes wonder over, made it kinda of uncomfortable sometimes during dinner. Other than that....4 stars, love the food!!",4,OpenTable Diner,New York Area
